T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2011-02-16T12:00:00Z,2011-02-16T12:00:00Z,2011-02-16T12:00:02Z,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120004Z.94.image_lev1.fits,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120011Z.131.image_lev1.fits,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120013Z.171.image_lev1.fits,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120009Z.193.image_lev1.fits,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120002Z.211.image_lev1.fits,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120010Z.304.image_lev1.fits,2011-02-16T120002Z/aia.lev1_euv_12s.2011-02-16T120005Z.335.image_lev1.fits,2011-02-16T120002Z/hmi.m_720s.20110216_120000_TAI.1.magnetogram.fits
2011-02-17T12:00:00Z,2011-02-17T12:00:00Z,2011-02-17T12:00:02Z,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120004Z.94.image_lev1.fits,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120011Z.131.image_lev1.fits,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120013Z.171.image_lev1.fits,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120009Z.193.image_lev1.fits,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120002Z.211.image_lev1.fits,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120010Z.304.image_lev1.fits,2011-02-17T120002Z/aia.lev1_euv_12s.2011-02-17T120005Z.335.image_lev1.fits,2011-02-17T120002Z/hmi.m_720s.20110217_120000_TAI.1.magnetogram.fits
2011-02-18T12:00:00Z,2011-02-18T12:00:00Z,2011-02-18T12:00:02Z,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120004Z.94.image_lev1.fits,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120011Z.131.image_lev1.fits,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120013Z.171.image_lev1.fits,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120009Z.193.image_lev1.fits,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120002Z.211.image_lev1.fits,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120010Z.304.image_lev1.fits,2011-02-18T120002Z/aia.lev1_euv_12s.2011-02-18T120005Z.335.image_lev1.fits,2011-02-18T120002Z/hmi.m_720s.20110218_120000_TAI.1.magnetogram.fits
2011-02-19T12:00:00Z,2011-02-19T12:00:00Z,2011-02-19T12:00:02Z,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120004Z.94.image_lev1.fits,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120011Z.131.image_lev1.fits,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120013Z.171.image_lev1.fits,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120009Z.193.image_lev1.fits,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120002Z.211.image_lev1.fits,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120010Z.304.image_lev1.fits,2011-02-19T120002Z/aia.lev1_euv_12s.2011-02-19T120005Z.335.image_lev1.fits,2011-02-19T120002Z/hmi.m_720s.20110219_120000_TAI.1.magnetogram.fits
2011-02-20T12:00:00Z,2011-02-20T12:00:00Z,2011-02-20T12:00:02Z,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120004Z.94.image_lev1.fits,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120011Z.131.image_lev1.fits,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120013Z.171.image_lev1.fits,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120009Z.193.image_lev1.fits,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120002Z.211.image_lev1.fits,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120010Z.304.image_lev1.fits,2011-02-20T120002Z/aia.lev1_euv_12s.2011-02-20T120005Z.335.image_lev1.fits,2011-02-20T120002Z/hmi.m_720s.20110220_120000_TAI.1.magnetogram.fits
2011-02-21T12:00:00Z,2011-02-21T12:00:00Z,2011-02-21T12:00:02Z,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120004Z.94.image_lev1.fits,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120011Z.131.image_lev1.fits,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120013Z.171.image_lev1.fits,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120009Z.193.image_lev1.fits,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120002Z.211.image_lev1.fits,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120010Z.304.image_lev1.fits,2011-02-21T120002Z/aia.lev1_euv_12s.2011-02-21T120005Z.335.image_lev1.fits,2011-02-21T120002Z/hmi.m_720s.20110221_120000_TAI.1.magnetogram.fits
2011-02-22T12:00:00Z,2011-02-22T12:00:00Z,2011-02-22T12:00:02Z,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120004Z.94.image_lev1.fits,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120011Z.131.image_lev1.fits,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120013Z.171.image_lev1.fits,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120009Z.193.image_lev1.fits,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120002Z.211.image_lev1.fits,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120010Z.304.image_lev1.fits,2011-02-22T120002Z/aia.lev1_euv_12s.2011-02-22T120005Z.335.image_lev1.fits,2011-02-22T120002Z/hmi.m_720s.20110222_120000_TAI.1.magnetogram.fits
2011-02-23T12:00:00Z,2011-02-23T12:00:00Z,2011-02-23T12:00:02Z,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120004Z.94.image_lev1.fits,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120011Z.131.image_lev1.fits,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120013Z.171.image_lev1.fits,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120009Z.193.image_lev1.fits,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120002Z.211.image_lev1.fits,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120010Z.304.image_lev1.fits,2011-02-23T120002Z/aia.lev1_euv_12s.2011-02-23T120005Z.335.image_lev1.fits,2011-02-23T120002Z/hmi.m_720s.20110223_120000_TAI.1.magnetogram.fits
2011-02-24T12:00:00Z,2011-02-24T12:00:00Z,2011-02-24T12:00:02Z,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120004Z.94.image_lev1.fits,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120011Z.131.image_lev1.fits,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120013Z.171.image_lev1.fits,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120009Z.193.image_lev1.fits,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120002Z.211.image_lev1.fits,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120010Z.304.image_lev1.fits,2011-02-24T120002Z/aia.lev1_euv_12s.2011-02-24T120005Z.335.image_lev1.fits,2011-02-24T120002Z/hmi.m_720s.20110224_120000_TAI.1.magnetogram.fits
2011-02-25T12:00:00Z,2011-02-25T12:00:00Z,2011-02-25T12:00:02Z,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120004Z.94.image_lev1.fits,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120011Z.131.image_lev1.fits,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120013Z.171.image_lev1.fits,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120009Z.193.image_lev1.fits,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120002Z.211.image_lev1.fits,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120010Z.304.image_lev1.fits,2011-02-25T120002Z/aia.lev1_euv_12s.2011-02-25T120005Z.335.image_lev1.fits,2011-02-25T120002Z/hmi.m_720s.20110225_120000_TAI.1.magnetogram.fits
