T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2011-11-16T12:00:00Z,2011-11-16T12:00:00Z,2011-11-16T12:00:02Z,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120004Z.94.image_lev1.fits,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120011Z.131.image_lev1.fits,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120013Z.171.image_lev1.fits,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120009Z.193.image_lev1.fits,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120002Z.211.image_lev1.fits,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120010Z.304.image_lev1.fits,2011-11-16T120002Z/aia.lev1_euv_12s.2011-11-16T120005Z.335.image_lev1.fits,2011-11-16T120002Z/hmi.m_720s.20111116_120000_TAI.1.magnetogram.fits
2011-11-17T12:00:00Z,2011-11-17T12:00:00Z,2011-11-17T12:00:02Z,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120004Z.94.image_lev1.fits,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120011Z.131.image_lev1.fits,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120013Z.171.image_lev1.fits,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120009Z.193.image_lev1.fits,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120002Z.211.image_lev1.fits,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120010Z.304.image_lev1.fits,2011-11-17T120002Z/aia.lev1_euv_12s.2011-11-17T120005Z.335.image_lev1.fits,2011-11-17T120002Z/hmi.m_720s.20111117_120000_TAI.1.magnetogram.fits
2011-11-18T12:00:00Z,2011-11-18T12:00:00Z,2011-11-18T12:00:02Z,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120004Z.94.image_lev1.fits,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120011Z.131.image_lev1.fits,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120013Z.171.image_lev1.fits,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120009Z.193.image_lev1.fits,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120002Z.211.image_lev1.fits,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120010Z.304.image_lev1.fits,2011-11-18T120002Z/aia.lev1_euv_12s.2011-11-18T120005Z.335.image_lev1.fits,2011-11-18T120002Z/hmi.m_720s.20111118_120000_TAI.1.magnetogram.fits
2011-11-19T12:00:00Z,2011-11-19T12:00:00Z,2011-11-19T12:00:02Z,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120004Z.94.image_lev1.fits,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120011Z.131.image_lev1.fits,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120013Z.171.image_lev1.fits,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120009Z.193.image_lev1.fits,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120002Z.211.image_lev1.fits,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120010Z.304.image_lev1.fits,2011-11-19T120002Z/aia.lev1_euv_12s.2011-11-19T120005Z.335.image_lev1.fits,2011-11-19T120002Z/hmi.m_720s.20111119_120000_TAI.1.magnetogram.fits
2011-11-20T12:00:00Z,2011-11-20T12:00:00Z,2011-11-20T12:00:02Z,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120004Z.94.image_lev1.fits,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120011Z.131.image_lev1.fits,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120013Z.171.image_lev1.fits,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120009Z.193.image_lev1.fits,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120002Z.211.image_lev1.fits,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120010Z.304.image_lev1.fits,2011-11-20T120002Z/aia.lev1_euv_12s.2011-11-20T120005Z.335.image_lev1.fits,2011-11-20T120002Z/hmi.m_720s.20111120_120000_TAI.1.magnetogram.fits
2011-11-21T12:00:00Z,2011-11-21T12:00:00Z,2011-11-21T12:00:02Z,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120004Z.94.image_lev1.fits,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120011Z.131.image_lev1.fits,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120013Z.171.image_lev1.fits,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120009Z.193.image_lev1.fits,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120002Z.211.image_lev1.fits,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120010Z.304.image_lev1.fits,2011-11-21T120002Z/aia.lev1_euv_12s.2011-11-21T120005Z.335.image_lev1.fits,2011-11-21T120002Z/hmi.m_720s.20111121_120000_TAI.1.magnetogram.fits
2011-11-22T12:00:00Z,2011-11-22T12:00:00Z,2011-11-22T12:00:02Z,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120004Z.94.image_lev1.fits,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120011Z.131.image_lev1.fits,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120013Z.171.image_lev1.fits,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120009Z.193.image_lev1.fits,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120002Z.211.image_lev1.fits,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120010Z.304.image_lev1.fits,2011-11-22T120002Z/aia.lev1_euv_12s.2011-11-22T120005Z.335.image_lev1.fits,2011-11-22T120002Z/hmi.m_720s.20111122_120000_TAI.1.magnetogram.fits
2011-11-23T12:00:00Z,2011-11-23T12:00:00Z,2011-11-23T12:00:02Z,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120004Z.94.image_lev1.fits,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120011Z.131.image_lev1.fits,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120013Z.171.image_lev1.fits,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120009Z.193.image_lev1.fits,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120002Z.211.image_lev1.fits,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120010Z.304.image_lev1.fits,2011-11-23T120002Z/aia.lev1_euv_12s.2011-11-23T120005Z.335.image_lev1.fits,2011-11-23T120002Z/hmi.m_720s.20111123_120000_TAI.1.magnetogram.fits
2011-11-24T12:00:00Z,2011-11-24T12:00:00Z,2011-11-24T12:00:02Z,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120004Z.94.image_lev1.fits,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120011Z.131.image_lev1.fits,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120013Z.171.image_lev1.fits,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120009Z.193.image_lev1.fits,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120002Z.211.image_lev1.fits,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120010Z.304.image_lev1.fits,2011-11-24T120002Z/aia.lev1_euv_12s.2011-11-24T120005Z.335.image_lev1.fits,2011-11-24T120002Z/hmi.m_720s.20111124_120000_TAI.1.magnetogram.fits
2011-11-25T12:00:00Z,2011-11-25T12:00:00Z,2011-11-25T12:00:02Z,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120004Z.94.image_lev1.fits,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120011Z.131.image_lev1.fits,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120013Z.171.image_lev1.fits,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120009Z.193.image_lev1.fits,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120002Z.211.image_lev1.fits,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120010Z.304.image_lev1.fits,2011-11-25T120002Z/aia.lev1_euv_12s.2011-11-25T120005Z.335.image_lev1.fits,2011-11-25T120002Z/hmi.m_720s.20111125_120000_TAI.1.magnetogram.fits
