T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2018-09-02T12:00:00Z,2018-09-02T12:00:00Z,2018-09-02T11:59:59Z,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T120001Z.94.image_lev1.fits,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T120008Z.131.image_lev1.fits,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T120010Z.171.image_lev1.fits,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T120006Z.193.image_lev1.fits,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T115959Z.211.image_lev1.fits,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T120007Z.304.image_lev1.fits,2018-09-02T115959Z/aia.lev1_euv_12s.2018-09-02T120002Z.335.image_lev1.fits,2018-09-02T115959Z/hmi.m_720s.20180902_120000_TAI.3.magnetogram.fits
2018-09-03T12:00:00Z,2018-09-03T12:00:00Z,2018-09-03T11:59:59Z,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T120001Z.94.image_lev1.fits,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T120008Z.131.image_lev1.fits,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T120010Z.171.image_lev1.fits,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T120006Z.193.image_lev1.fits,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T115959Z.211.image_lev1.fits,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T120007Z.304.image_lev1.fits,2018-09-03T115959Z/aia.lev1_euv_12s.2018-09-03T120002Z.335.image_lev1.fits,2018-09-03T115959Z/hmi.m_720s.20180903_120000_TAI.3.magnetogram.fits
2018-09-04T12:00:00Z,2018-09-04T12:00:00Z,2018-09-04T11:59:59Z,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T120001Z.94.image_lev1.fits,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T120008Z.131.image_lev1.fits,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T120010Z.171.image_lev1.fits,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T120006Z.193.image_lev1.fits,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T115959Z.211.image_lev1.fits,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T120007Z.304.image_lev1.fits,2018-09-04T115959Z/aia.lev1_euv_12s.2018-09-04T120002Z.335.image_lev1.fits,2018-09-04T115959Z/hmi.m_720s.20180904_120000_TAI.3.magnetogram.fits
2018-09-05T12:00:00Z,2018-09-05T12:00:00Z,2018-09-05T11:59:59Z,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T120001Z.94.image_lev1.fits,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T120008Z.131.image_lev1.fits,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T120010Z.171.image_lev1.fits,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T120006Z.193.image_lev1.fits,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T115959Z.211.image_lev1.fits,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T120007Z.304.image_lev1.fits,2018-09-05T115959Z/aia.lev1_euv_12s.2018-09-05T120002Z.335.image_lev1.fits,2018-09-05T115959Z/hmi.m_720s.20180905_120000_TAI.3.magnetogram.fits
2018-09-06T12:00:00Z,2018-09-06T12:00:00Z,2018-09-06T11:59:59Z,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T120001Z.94.image_lev1.fits,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T120008Z.131.image_lev1.fits,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T120010Z.171.image_lev1.fits,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T120006Z.193.image_lev1.fits,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T115959Z.211.image_lev1.fits,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T120007Z.304.image_lev1.fits,2018-09-06T115959Z/aia.lev1_euv_12s.2018-09-06T120002Z.335.image_lev1.fits,2018-09-06T115959Z/hmi.m_720s.20180906_120000_TAI.3.magnetogram.fits
2018-09-07T12:00:00Z,2018-09-07T12:00:00Z,2018-09-07T11:59:59Z,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T120001Z.94.image_lev1.fits,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T120008Z.131.image_lev1.fits,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T120010Z.171.image_lev1.fits,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T120006Z.193.image_lev1.fits,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T115959Z.211.image_lev1.fits,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T120007Z.304.image_lev1.fits,2018-09-07T115959Z/aia.lev1_euv_12s.2018-09-07T120002Z.335.image_lev1.fits,2018-09-07T115959Z/hmi.m_720s.20180907_120000_TAI.3.magnetogram.fits
2018-09-08T12:00:00Z,2018-09-08T12:00:00Z,2018-09-08T11:59:59Z,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T120001Z.94.image_lev1.fits,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T120008Z.131.image_lev1.fits,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T120010Z.171.image_lev1.fits,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T120006Z.193.image_lev1.fits,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T115959Z.211.image_lev1.fits,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T120007Z.304.image_lev1.fits,2018-09-08T115959Z/aia.lev1_euv_12s.2018-09-08T120002Z.335.image_lev1.fits,2018-09-08T115959Z/hmi.m_720s.20180908_120000_TAI.3.magnetogram.fits
2018-09-09T12:00:00Z,2018-09-09T11:48:00Z,2018-09-09T11:47:59Z,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114801Z.94.image_lev1.fits,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114808Z.131.image_lev1.fits,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114810Z.171.image_lev1.fits,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114806Z.193.image_lev1.fits,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114759Z.211.image_lev1.fits,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114807Z.304.image_lev1.fits,2018-09-09T114759Z/aia.lev1_euv_12s.2018-09-09T114802Z.335.image_lev1.fits,2018-09-09T114759Z/hmi.m_720s.20180909_114800_TAI.3.magnetogram.fits
2018-09-10T12:00:00Z,2018-09-10T12:00:00Z,2018-09-10T11:59:59Z,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T120001Z.94.image_lev1.fits,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T120008Z.131.image_lev1.fits,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T120010Z.171.image_lev1.fits,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T120006Z.193.image_lev1.fits,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T115959Z.211.image_lev1.fits,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T120007Z.304.image_lev1.fits,2018-09-10T115959Z/aia.lev1_euv_12s.2018-09-10T120002Z.335.image_lev1.fits,2018-09-10T115959Z/hmi.m_720s.20180910_120000_TAI.3.magnetogram.fits
2018-09-11T12:00:00Z,2018-09-11T12:00:00Z,2018-09-11T11:59:59Z,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T120001Z.94.image_lev1.fits,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T120008Z.131.image_lev1.fits,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T120010Z.171.image_lev1.fits,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T120006Z.193.image_lev1.fits,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T115959Z.211.image_lev1.fits,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T120007Z.304.image_lev1.fits,2018-09-11T115959Z/aia.lev1_euv_12s.2018-09-11T120002Z.335.image_lev1.fits,2018-09-11T115959Z/hmi.m_720s.20180911_120000_TAI.3.magnetogram.fits
