T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2015-02-01T12:00:00Z,2015-02-01T12:00:00Z,2015-02-01T12:00:01Z,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120003Z.94.image_lev1.fits,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120010Z.131.image_lev1.fits,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120012Z.171.image_lev1.fits,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120008Z.193.image_lev1.fits,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120001Z.211.image_lev1.fits,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120009Z.304.image_lev1.fits,2015-02-01T120001Z/aia.lev1_euv_12s.2015-02-01T120004Z.335.image_lev1.fits,2015-02-01T120001Z/hmi.m_720s.20150201_120000_TAI.1.magnetogram.fits
2015-02-02T12:00:00Z,2015-02-02T12:00:00Z,2015-02-02T12:00:01Z,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120003Z.94.image_lev1.fits,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120010Z.131.image_lev1.fits,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120012Z.171.image_lev1.fits,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120008Z.193.image_lev1.fits,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120001Z.211.image_lev1.fits,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120009Z.304.image_lev1.fits,2015-02-02T120001Z/aia.lev1_euv_12s.2015-02-02T120004Z.335.image_lev1.fits,2015-02-02T120001Z/hmi.m_720s.20150202_120000_TAI.1.magnetogram.fits
2015-02-03T12:00:00Z,2015-02-03T12:00:00Z,2015-02-03T12:00:01Z,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120003Z.94.image_lev1.fits,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120010Z.131.image_lev1.fits,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120012Z.171.image_lev1.fits,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120008Z.193.image_lev1.fits,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120001Z.211.image_lev1.fits,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120009Z.304.image_lev1.fits,2015-02-03T120001Z/aia.lev1_euv_12s.2015-02-03T120004Z.335.image_lev1.fits,2015-02-03T120001Z/hmi.m_720s.20150203_120000_TAI.1.magnetogram.fits
2015-02-04T12:00:00Z,2015-02-04T12:00:00Z,2015-02-04T12:00:01Z,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120003Z.94.image_lev1.fits,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120010Z.131.image_lev1.fits,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120012Z.171.image_lev1.fits,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120008Z.193.image_lev1.fits,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120001Z.211.image_lev1.fits,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120009Z.304.image_lev1.fits,2015-02-04T120001Z/aia.lev1_euv_12s.2015-02-04T120004Z.335.image_lev1.fits,2015-02-04T120001Z/hmi.m_720s.20150204_120000_TAI.1.magnetogram.fits
2015-02-05T12:00:00Z,2015-02-05T12:00:00Z,2015-02-05T12:00:01Z,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120003Z.94.image_lev1.fits,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120010Z.131.image_lev1.fits,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120012Z.171.image_lev1.fits,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120008Z.193.image_lev1.fits,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120001Z.211.image_lev1.fits,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120009Z.304.image_lev1.fits,2015-02-05T120001Z/aia.lev1_euv_12s.2015-02-05T120004Z.335.image_lev1.fits,2015-02-05T120001Z/hmi.m_720s.20150205_120000_TAI.1.magnetogram.fits
2015-02-06T12:00:00Z,2015-02-06T12:00:00Z,2015-02-06T12:00:01Z,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120003Z.94.image_lev1.fits,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120010Z.131.image_lev1.fits,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120012Z.171.image_lev1.fits,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120008Z.193.image_lev1.fits,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120001Z.211.image_lev1.fits,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120009Z.304.image_lev1.fits,2015-02-06T120001Z/aia.lev1_euv_12s.2015-02-06T120004Z.335.image_lev1.fits,2015-02-06T120001Z/hmi.m_720s.20150206_120000_TAI.1.magnetogram.fits
2015-02-07T12:00:00Z,2015-02-07T12:00:00Z,2015-02-07T12:00:01Z,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120003Z.94.image_lev1.fits,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120010Z.131.image_lev1.fits,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120012Z.171.image_lev1.fits,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120008Z.193.image_lev1.fits,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120001Z.211.image_lev1.fits,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120009Z.304.image_lev1.fits,2015-02-07T120001Z/aia.lev1_euv_12s.2015-02-07T120004Z.335.image_lev1.fits,2015-02-07T120001Z/hmi.m_720s.20150207_120000_TAI.1.magnetogram.fits
2015-02-08T12:00:00Z,2015-02-08T12:00:00Z,2015-02-08T12:00:01Z,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120003Z.94.image_lev1.fits,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120010Z.131.image_lev1.fits,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120012Z.171.image_lev1.fits,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120008Z.193.image_lev1.fits,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120001Z.211.image_lev1.fits,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120009Z.304.image_lev1.fits,2015-02-08T120001Z/aia.lev1_euv_12s.2015-02-08T120004Z.335.image_lev1.fits,2015-02-08T120001Z/hmi.m_720s.20150208_120000_TAI.1.magnetogram.fits
2015-02-09T12:00:00Z,2015-02-09T12:00:00Z,2015-02-09T12:00:01Z,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120003Z.94.image_lev1.fits,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120010Z.131.image_lev1.fits,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120012Z.171.image_lev1.fits,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120008Z.193.image_lev1.fits,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120001Z.211.image_lev1.fits,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120009Z.304.image_lev1.fits,2015-02-09T120001Z/aia.lev1_euv_12s.2015-02-09T120004Z.335.image_lev1.fits,2015-02-09T120001Z/hmi.m_720s.20150209_120000_TAI.1.magnetogram.fits
2015-02-10T12:00:00Z,2015-02-10T12:00:00Z,2015-02-10T12:00:01Z,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120003Z.94.image_lev1.fits,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120010Z.131.image_lev1.fits,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120012Z.171.image_lev1.fits,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120008Z.193.image_lev1.fits,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120001Z.211.image_lev1.fits,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120009Z.304.image_lev1.fits,2015-02-10T120001Z/aia.lev1_euv_12s.2015-02-10T120004Z.335.image_lev1.fits,2015-02-10T120001Z/hmi.m_720s.20150210_120000_TAI.1.magnetogram.fits
