T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2018-04-29T12:00:00Z,2018-04-29T12:00:00Z,2018-04-29T11:59:59Z,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T120001Z.94.image_lev1.fits,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T120008Z.131.image_lev1.fits,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T120010Z.171.image_lev1.fits,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T120006Z.193.image_lev1.fits,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T115959Z.211.image_lev1.fits,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T120007Z.304.image_lev1.fits,2018-04-29T115959Z/aia.lev1_euv_12s.2018-04-29T120002Z.335.image_lev1.fits,2018-04-29T115959Z/hmi.m_720s.20180429_120000_TAI.3.magnetogram.fits
2018-04-30T12:00:00Z,2018-04-30T12:00:00Z,2018-04-30T11:59:59Z,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T120001Z.94.image_lev1.fits,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T120008Z.131.image_lev1.fits,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T120010Z.171.image_lev1.fits,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T120006Z.193.image_lev1.fits,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T115959Z.211.image_lev1.fits,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T120007Z.304.image_lev1.fits,2018-04-30T115959Z/aia.lev1_euv_12s.2018-04-30T120002Z.335.image_lev1.fits,2018-04-30T115959Z/hmi.m_720s.20180430_120000_TAI.3.magnetogram.fits
2018-05-01T12:00:00Z,2018-05-01T12:00:00Z,2018-05-01T11:59:59Z,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T120001Z.94.image_lev1.fits,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T120008Z.131.image_lev1.fits,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T120010Z.171.image_lev1.fits,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T120006Z.193.image_lev1.fits,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T115959Z.211.image_lev1.fits,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T120007Z.304.image_lev1.fits,2018-05-01T115959Z/aia.lev1_euv_12s.2018-05-01T120002Z.335.image_lev1.fits,2018-05-01T115959Z/hmi.m_720s.20180501_120000_TAI.3.magnetogram.fits
2018-05-02T12:00:00Z,2018-05-02T12:00:00Z,2018-05-02T11:59:59Z,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T120001Z.94.image_lev1.fits,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T120008Z.131.image_lev1.fits,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T120010Z.171.image_lev1.fits,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T120006Z.193.image_lev1.fits,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T115959Z.211.image_lev1.fits,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T120007Z.304.image_lev1.fits,2018-05-02T115959Z/aia.lev1_euv_12s.2018-05-02T120002Z.335.image_lev1.fits,2018-05-02T115959Z/hmi.m_720s.20180502_120000_TAI.3.magnetogram.fits
2018-05-03T12:00:00Z,2018-05-03T12:00:00Z,2018-05-03T11:59:59Z,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T120001Z.94.image_lev1.fits,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T120008Z.131.image_lev1.fits,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T120010Z.171.image_lev1.fits,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T120006Z.193.image_lev1.fits,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T115959Z.211.image_lev1.fits,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T120007Z.304.image_lev1.fits,2018-05-03T115959Z/aia.lev1_euv_12s.2018-05-03T120002Z.335.image_lev1.fits,2018-05-03T115959Z/hmi.m_720s.20180503_120000_TAI.3.magnetogram.fits
2018-05-04T12:00:00Z,2018-05-04T12:00:00Z,2018-05-04T11:59:59Z,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T120001Z.94.image_lev1.fits,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T120008Z.131.image_lev1.fits,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T120010Z.171.image_lev1.fits,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T120006Z.193.image_lev1.fits,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T115959Z.211.image_lev1.fits,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T120007Z.304.image_lev1.fits,2018-05-04T115959Z/aia.lev1_euv_12s.2018-05-04T120002Z.335.image_lev1.fits,2018-05-04T115959Z/hmi.m_720s.20180504_120000_TAI.3.magnetogram.fits
2018-05-05T12:00:00Z,2018-05-05T12:00:00Z,2018-05-05T11:59:59Z,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T120001Z.94.image_lev1.fits,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T120008Z.131.image_lev1.fits,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T120010Z.171.image_lev1.fits,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T120006Z.193.image_lev1.fits,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T115959Z.211.image_lev1.fits,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T120007Z.304.image_lev1.fits,2018-05-05T115959Z/aia.lev1_euv_12s.2018-05-05T120002Z.335.image_lev1.fits,2018-05-05T115959Z/hmi.m_720s.20180505_120000_TAI.3.magnetogram.fits
2018-05-06T12:00:00Z,2018-05-06T12:00:00Z,2018-05-06T11:59:59Z,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T120001Z.94.image_lev1.fits,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T120008Z.131.image_lev1.fits,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T120010Z.171.image_lev1.fits,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T120006Z.193.image_lev1.fits,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T115959Z.211.image_lev1.fits,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T120007Z.304.image_lev1.fits,2018-05-06T115959Z/aia.lev1_euv_12s.2018-05-06T120002Z.335.image_lev1.fits,2018-05-06T115959Z/hmi.m_720s.20180506_120000_TAI.3.magnetogram.fits
2018-05-07T12:00:00Z,2018-05-07T12:00:00Z,2018-05-07T11:59:59Z,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T120001Z.94.image_lev1.fits,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T120008Z.131.image_lev1.fits,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T120010Z.171.image_lev1.fits,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T120006Z.193.image_lev1.fits,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T115959Z.211.image_lev1.fits,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T120007Z.304.image_lev1.fits,2018-05-07T115959Z/aia.lev1_euv_12s.2018-05-07T120002Z.335.image_lev1.fits,2018-05-07T115959Z/hmi.m_720s.20180507_120000_TAI.3.magnetogram.fits
2018-05-08T12:00:00Z,2018-05-08T12:00:00Z,2018-05-08T11:59:59Z,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T120001Z.94.image_lev1.fits,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T120008Z.131.image_lev1.fits,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T120010Z.171.image_lev1.fits,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T120006Z.193.image_lev1.fits,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T115959Z.211.image_lev1.fits,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T120007Z.304.image_lev1.fits,2018-05-08T115959Z/aia.lev1_euv_12s.2018-05-08T120002Z.335.image_lev1.fits,2018-05-08T115959Z/hmi.m_720s.20180508_120000_TAI.3.magnetogram.fits
2018-05-09T12:00:00Z,2018-05-09T12:00:00Z,2018-05-09T11:59:59Z,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T120001Z.94.image_lev1.fits,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T120008Z.131.image_lev1.fits,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T120010Z.171.image_lev1.fits,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T120006Z.193.image_lev1.fits,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T115959Z.211.image_lev1.fits,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T120007Z.304.image_lev1.fits,2018-05-09T115959Z/aia.lev1_euv_12s.2018-05-09T120002Z.335.image_lev1.fits,2018-05-09T115959Z/hmi.m_720s.20180509_120000_TAI.3.magnetogram.fits
2018-05-10T12:00:00Z,2018-05-10T12:00:00Z,2018-05-10T11:59:59Z,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T120001Z.94.image_lev1.fits,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T120008Z.131.image_lev1.fits,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T120010Z.171.image_lev1.fits,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T120006Z.193.image_lev1.fits,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T115959Z.211.image_lev1.fits,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T120007Z.304.image_lev1.fits,2018-05-10T115959Z/aia.lev1_euv_12s.2018-05-10T120002Z.335.image_lev1.fits,2018-05-10T115959Z/hmi.m_720s.20180510_120000_TAI.3.magnetogram.fits
2018-05-11T12:00:00Z,2018-05-11T12:00:00Z,2018-05-11T11:59:59Z,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T120001Z.94.image_lev1.fits,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T120008Z.131.image_lev1.fits,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T120010Z.171.image_lev1.fits,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T120006Z.193.image_lev1.fits,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T115959Z.211.image_lev1.fits,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T120007Z.304.image_lev1.fits,2018-05-11T115959Z/aia.lev1_euv_12s.2018-05-11T120002Z.335.image_lev1.fits,2018-05-11T115959Z/hmi.m_720s.20180511_120000_TAI.3.magnetogram.fits
2018-05-12T12:00:00Z,2018-05-12T12:00:00Z,2018-05-12T11:59:59Z,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T120001Z.94.image_lev1.fits,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T120008Z.131.image_lev1.fits,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T120010Z.171.image_lev1.fits,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T120006Z.193.image_lev1.fits,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T115959Z.211.image_lev1.fits,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T120007Z.304.image_lev1.fits,2018-05-12T115959Z/aia.lev1_euv_12s.2018-05-12T120002Z.335.image_lev1.fits,2018-05-12T115959Z/hmi.m_720s.20180512_120000_TAI.3.magnetogram.fits
2018-05-13T12:00:00Z,2018-05-13T12:00:00Z,2018-05-13T11:59:59Z,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T120001Z.94.image_lev1.fits,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T120008Z.131.image_lev1.fits,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T120010Z.171.image_lev1.fits,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T120006Z.193.image_lev1.fits,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T115959Z.211.image_lev1.fits,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T120007Z.304.image_lev1.fits,2018-05-13T115959Z/aia.lev1_euv_12s.2018-05-13T120002Z.335.image_lev1.fits,2018-05-13T115959Z/hmi.m_720s.20180513_120000_TAI.3.magnetogram.fits
2018-05-14T12:00:00Z,2018-05-14T12:00:00Z,2018-05-14T11:59:59Z,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T120001Z.94.image_lev1.fits,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T120008Z.131.image_lev1.fits,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T120010Z.171.image_lev1.fits,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T120006Z.193.image_lev1.fits,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T115959Z.211.image_lev1.fits,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T120007Z.304.image_lev1.fits,2018-05-14T115959Z/aia.lev1_euv_12s.2018-05-14T120002Z.335.image_lev1.fits,2018-05-14T115959Z/hmi.m_720s.20180514_120000_TAI.3.magnetogram.fits
2018-05-15T12:00:00Z,2018-05-15T12:00:00Z,2018-05-15T11:59:59Z,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T120001Z.94.image_lev1.fits,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T120008Z.131.image_lev1.fits,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T120010Z.171.image_lev1.fits,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T120006Z.193.image_lev1.fits,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T115959Z.211.image_lev1.fits,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T120007Z.304.image_lev1.fits,2018-05-15T115959Z/aia.lev1_euv_12s.2018-05-15T120002Z.335.image_lev1.fits,2018-05-15T115959Z/hmi.m_720s.20180515_120000_TAI.3.magnetogram.fits
